works_non_ipfs,exhibition,contract,code_version,sample_tokenURI
15,Infinite Entropy,0x0A5c44da5F71B884c16A195CeC304F47ac0233CF,FeralfileExhibitionV2,?
52,Instructions Follow,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,FeralfileExhibitionV2,?
278,Social Codes,0x28b51BA8B990c48CB22cB6EF0ad5415fdBA5210C,FeralfileExhibitionV2,?
116,Reflections in the Water,0x29C9E04E05c5d261836e458BC5B779a7dE3C58D6,FeralfileExhibitionV2,?
40,Primordium,0x513AC47320798fB6D74543242a9c0F686682998D,FeralfileExhibitionV2,?
28,Polyarrythmia,0x63c8282C8705E7873B3302bd623b2Bc8eBCdDDD3,FeralfileExhibitionV2,?
124,For Your Eyes Only,0x6DBa130221A1C39f6623908A136976686050059a,FeralfileExhibitionV2,?
79,The Long Cut,0x6E906B2E355294A6aeCD6B4F75816Eda9F703dda,FeralfileExhibitionV2,?
22,WETWARE,0x7A9Ea7C036F6aaB113E2563096ef1e0E56375A39,FeralfileExhibitionV2,?
4310,Unsupervised,0x7a15b36cB834AeA88553De69077D3777460d73Ac,FeralfileExhibitionV2,?
45,Ten Whistlegraphs,0x9294c5787f5BC7462E991fE8B6FeaC75F433ac39,FeralfileExhibitionV2,?
146,Fragments of a Hologram Rose,0x979316F5b3f3d8db956Af519553c853525A5b1Af,FeralfileExhibitionV2,?
251,Field Guide,0xD8eed224E1B358fa6f7b167124C2c1AFe42275b4,FeralfileExhibitionV2,?
89,–GRAPH,0xDB5f1aDCFFA1869B9711cBFBe3Bf46cc5d5319E5,FeralfileExhibitionV2,?
84,P1×3L,0xE5163c74fFE6563D75d750E5d767122500a1c337,FeralfileExhibitionV2,?
73,On Screen Presence,0xaDB387798599f5777CD0531c2ECb36007C1D1a51,FeralfileExhibitionV2,?
151,The Bardo: Unpacking the Real,0xaa02CC02F4531Ee75d1b78Cb5A155d4F3B54f830,FeralfileExhibitionV2,?
