collection_uuid,collection_name,series_id,series_title,exhibition,eth_contracts,note
fe2f3149-d59c-44dc-ba15-f9bc21798388,ANATOMY of a rabbit but bird by Iskra Velitchkova,fe2f3149-d59c-44dc-ba15-f9bc21798388,ANATOMY of a rabbit but bird,+GRAPH,0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096,
abc9532c-3b95-4502-b0ac-fa5a64510ccd,Breakpoint. by James Merrill,abc9532c-3b95-4502-b0ac-fa5a64510ccd,Breakpoint.,+GRAPH,0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096,
490e2542-daac-48c4-8407-bbd15eb9ab74,Fictional Lullaby by Licia He,490e2542-daac-48c4-8407-bbd15eb9ab74,Fictional Lullaby,+GRAPH,0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096,
22356067-3858-46c7-ba80-02f0dafa04b6,Fine Particles by Joanie Lemercier,22356067-3858-46c7-ba80-02f0dafa04b6,Fine Particles,+GRAPH,0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096,
55e9a993-a644-405f-b489-d4dc7e03ac5c,Mineral by Julien Gachadoat,55e9a993-a644-405f-b489-d4dc7e03ac5c,Mineral,+GRAPH,0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096,
688c1976-748d-4b54-8aac-61b5561924e6,The Space in Between by Aleksandra Jovanić,688c1976-748d-4b54-8aac-61b5561924e6,The Space in Between,+GRAPH,0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096,
a00f828f-f402-42e6-b382-0d99e7881da7,BLOOMCORE by Rick Silva,a00f828f-f402-42e6-b382-0d99e7881da7,BLOOMCORE,BLOOMCORE,0xe59B7D60d7d7183E09d8ABb6DF8B20EB4CF66632,
24e7d8fd-01b9-4673-9f46-6f69118feda1,BOOM TOWN by Peter Burr,dd833c02-3847-40be-ab08-20d574aad3b9,APARTMENT BLOCK,BOOM TOWN,0x6003994adECA13407E8dbEE808280CC3EF2ab820,
24e7d8fd-01b9-4673-9f46-6f69118feda1,BOOM TOWN by Peter Burr,fa38844a-ecc1-45be-b260-ceab60504697,EMPTY LOT,BOOM TOWN,0x6003994adECA13407E8dbEE808280CC3EF2ab820,
24e7d8fd-01b9-4673-9f46-6f69118feda1,BOOM TOWN by Peter Burr,949ddc52-1007-4f79-a355-e287a7b55fc6,FACTORY,BOOM TOWN,0x6003994adECA13407E8dbEE808280CC3EF2ab820,
24e7d8fd-01b9-4673-9f46-6f69118feda1,BOOM TOWN by Peter Burr,4c2da678-ac66-4b85-8fd5-75fc26ba0a5b,LUXURY HOME,BOOM TOWN,0x6003994adECA13407E8dbEE808280CC3EF2ab820,
